participant,trial_name,stair_height,direction,trans_leg,start_time,end_time
AB06,stair_1_l_01_06,4,ascent,lr,121.795,123.035
AB06,stair_1_r_01_05,4,ascent,rl,102.905,106.205
AB06,stair_1_l_01_01,4,descent,lr,25.545,26.93
AB06,stair_1_r_01_05,4,descent,rl,112.94,115.875
AB06,stair_2_l_02_01,5,ascent,lr,26.18,27.355
AB06,stair_2_r_01_03,5,ascent,rl,52.86,55.435
AB06,stair_2_l_02_02,5,descent,lr,51.115,52.315
AB06,stair_2_r_01_03,5,descent,rl,61.82,64.265
AB06,stair_3_l_01_01,6,ascent,lr,18.245,19.555
AB06,stair_3_r_01_05,6,ascent,rl,97.13,99.99
AB06,stair_3_l_01_04,6,descent,lr,84.495,85.885
AB06,stair_3_r_01_05,6,descent,rl,106.31,109.015
AB06,stair_4_l_01_02,7,ascent,lr,43.18,44.455
AB06,stair_4_r_01_03,7,ascent,rl,53.555,56.255
AB06,stair_4_l_01_02,7,descent,lr,52.3,53.47
AB06,stair_4_r_01_05,7,descent,rl,101.5,104.155
AB07,stair_1_l_01_01,4,ascent,lr,13.165,14.305
AB07,stair_1_r_01_05,4,ascent,rl,90.155,92.64
AB07,stair_1_l_01_04,4,descent,lr,81.57,82.6
AB07,stair_1_r_01_05,4,descent,rl,99.31,101.395
AB07,stair_2_l_01_05,5,ascent,lr,92.54,93.72
AB07,stair_2_r_01_03,5,ascent,rl,49.675,52.25
AB07,stair_2_l_01_04,5,descent,lr,84.02,85.12
AB07,stair_2_r_02_01,5,descent,rl,24.855,27.135
AB07,stair_3_l_01_03,6,ascent,lr,52.2,53.575
AB07,stair_3_r_02_01,6,ascent,rl,10.6,13.075
AB07,stair_3_l_01_03,6,descent,lr,63.38,64.525
AB07,stair_3_r_01_01,6,descent,rl,20.615,22.885
AB07,stair_4_l_01_04,7,ascent,lr,73.915,75.15
AB07,stair_4_r_01_02,7,ascent,rl,29.245,31.84
AB07,stair_4_l_01_02,7,descent,lr,42.33,43.43
AB07,stair_4_r_01_02,7,descent,rl,38.795,41.06
AB08,stair_1_l_01_01,4,ascent,lr,8.02,9.05
AB08,stair_1_l_01_03,4,descent,lr,48.165,49.15
AB08,stair_2_l_01_03,5,ascent,lr,46.995,48.21
AB08,stair_2_r_01_01,5,ascent,rl,7.365,9.455
AB08,stair_2_l_01_04,5,descent,lr,75.665,76.685
AB08,stair_2_r_01_05,5,descent,rl,88.04,89.965
AB08,stair_3_l_01_03,6,ascent,lr,43.575,44.67
AB08,stair_3_r_01_04,6,ascent,rl,70.935,73.115
AB08,stair_3_l_01_02,6,descent,lr,35.405,36.345
AB08,stair_3_r_01_03,6,descent,rl,62.87,64.84
AB08,stair_4_l_01_05,7,ascent,lr,84.245,85.275
AB08,stair_4_r_01_05,7,ascent,rl,78.565,80.65
AB08,stair_4_l_01_04,7,descent,lr,76.68,77.645
AB08,stair_4_r_01_03,7,descent,rl,55.415,57.395
AB09,stair_1_l_01_02,4,ascent,lr,20.595,21.545
AB09,stair_1_r_01_01,4,ascent,rl,11.385,13.9
AB09,stair_1_l_01_04,4,descent,lr,55.395,56.335
AB09,stair_1_r_01_01,4,descent,rl,19.215,21.47
AB09,stair_2_l_01_01,5,ascent,lr,8.305,9.39
AB09,stair_2_r_01_03,5,ascent,rl,38.0,40.025
AB09,stair_2_l_01_05,5,descent,lr,69.32,70.215
AB09,stair_2_r_01_05,5,descent,rl,71.445,73.33
AB09,stair_3_l_01_04,6,ascent,lr,47.35,48.315
AB09,stair_3_r_01_02,6,ascent,rl,20.96,23.04
AB09,stair_3_l_01_01,6,descent,lr,14.07,14.98
AB09,stair_3_r_01_03,6,descent,rl,41.61,43.51
AB09,stair_4_l_01_04,7,ascent,lr,52.74,53.61
AB09,stair_4_r_01_01,7,ascent,rl,7.895,9.8
AB09,stair_4_l_01_05,7,descent,lr,73.495,74.33
AB09,stair_4_r_01_02,7,descent,rl,29.055,30.83
AB10,stair_1_l_01_03,4,ascent,lr,39.315,40.25
AB10,stair_1_r_01_03,4,ascent,rl,46.38,48.41
AB10,stair_1_l_01_02,4,descent,lr,32.86,33.645
AB10,stair_1_r_01_03,4,descent,rl,54.495,56.465
AB10,stair_2_l_01_05,5,ascent,lr,74.795,75.915
AB10,stair_2_r_01_04,5,ascent,rl,60.3,61.96
AB10,stair_2_l_01_03,5,descent,lr,48.995,49.935
AB10,stair_2_r_01_05,5,descent,rl,85.755,87.815
AB10,stair_3_l_02_01,6,ascent,lr,7.61,8.73
AB10,stair_3_r_01_03,6,ascent,rl,39.59,41.885
AB10,stair_3_l_01_01,6,descent,lr,19.285,20.265
AB10,stair_3_r_01_01,6,descent,rl,15.5,17.44
AB10,stair_4_l_01_01,7,ascent,lr,8.125,9.21
AB10,stair_4_r_01_01,7,ascent,rl,13.18,15.47
AB10,stair_4_l_01_01,7,descent,lr,16.565,17.64
AB10,stair_4_r_01_03,7,descent,rl,59.705,62.045
AB11,stair_1_l_01_02,4,ascent,lr,34.065,35.745
AB11,stair_1_r_01_04,4,ascent,rl,83.07,86.45
AB11,stair_1_l_02_05,4,descent,lr,100.93,102.305
AB11,stair_1_r_01_01,4,descent,rl,30.77,33.825
AB11,stair_2_l_01_01,5,ascent,lr,16.04,17.65
AB11,stair_2_r_01_04,5,ascent,rl,69.135,72.5
AB11,stair_2_l_01_01,5,descent,lr,25.03,26.505
AB11,stair_2_r_01_05,5,descent,rl,101.035,104.2
AB11,stair_3_l_01_03,6,ascent,lr,48.03,49.725
AB11,stair_3_r_01_02,6,ascent,rl,27.68,31.365
AB11,stair_3_l_01_04,6,descent,lr,80.195,81.735
AB11,stair_3_r_01_03,6,descent,rl,57.105,60.295
AB11,stair_4_l_01_04,7,ascent,lr,68.2,70.085
AB11,stair_4_r_01_04,7,ascent,rl,63.725,67.185
AB11,stair_4_l_01_03,7,descent,lr,58.65,60.195
AB11,stair_4_r_01_03,7,descent,rl,54.29,57.36
AB12,stair_1_l_01_05,4,ascent,lr,61.7,62.79
AB12,stair_1_r_01_05,4,ascent,rl,68.505,70.785
AB12,stair_1_l_01_02,4,descent,lr,27.66,28.605
AB12,stair_1_r_01_02,4,descent,rl,33.29,35.38
AB12,stair_2_l_01_05,5,ascent,lr,62.395,63.485
AB12,stair_2_r_02_02,5,ascent,rl,31.265,33.58
AB12,stair_2_l_01_02,5,descent,lr,28.21,29.275
AB12,stair_2_r_02_02,5,descent,rl,38.03,40.115
AB12,stair_3_l_01_02,6,ascent,lr,19.385,20.485
AB12,stair_3_r_01_04,6,ascent,rl,53.01,55.33
AB12,stair_3_l_01_04,6,descent,lr,53.215,54.295
AB12,stair_3_r_01_01,6,descent,rl,19.165,21.225
AB12,stair_4_l_01_03,7,ascent,lr,38.97,40.115
AB12,stair_4_r_01_01,7,ascent,rl,7.835,10.305
AB12,stair_4_l_01_01,7,descent,lr,18.5,19.53
AB12,stair_4_r_02_03,7,descent,rl,46.49,48.54
AB13,stair_1_l_01_03,4,ascent,lr,41.105,42.305
AB13,stair_1_r_01_04,4,ascent,rl,67.125,69.54
AB13,stair_1_l_01_05,4,descent,lr,74.345,75.385
AB13,stair_1_r_01_03,4,descent,rl,59.295,61.63
AB13,stair_2_l_01_05,5,ascent,lr,75.595,76.78
AB13,stair_2_r_01_01,5,ascent,rl,14.03,16.175
AB13,stair_2_l_01_01,5,descent,lr,22.905,24.0
AB13,stair_2_r_01_04,5,descent,rl,65.955,68.135
AB13,stair_3_l_01_04,6,ascent,lr,55.57,56.725
AB13,stair_3_r_01_01,6,ascent,rl,12.34,14.77
AB13,stair_3_l_01_03,6,descent,lr,48.63,49.925
AB13,stair_3_r_01_05,6,descent,rl,75.87,78.22
AB13,stair_4_l_01_05,7,ascent,lr,69.84,71.18
AB13,stair_4_r_01_03,7,ascent,rl,38.095,40.65
AB13,stair_4_l_01_01,7,descent,lr,18.62,19.875
AB13,stair_4_r_01_05,7,descent,rl,74.49,77.095
AB14,stair_1_l_01_02,4,ascent,lr,20.325,21.275
AB14,stair_1_r_01_05,4,ascent,rl,56.68,58.615
AB14,stair_1_l_01_04,4,descent,lr,51.455,52.365
AB14,stair_1_r_01_01,4,descent,rl,14.275,16.16
AB14,stair_2_l_01_03,5,ascent,lr,32.805,33.73
AB14,stair_2_r_01_05,5,ascent,rl,55.5,57.405
AB14,stair_2_l_01_05,5,descent,lr,63.37,64.29
AB14,stair_2_r_01_03,5,descent,rl,36.74,38.59
AB14,stair_3_l_01_05,6,ascent,lr,56.965,57.935
AB14,stair_3_r_01_04,6,ascent,rl,45.18,47.11
AB14,stair_3_l_01_02,6,descent,lr,25.98,26.905
AB14,stair_3_r_01_04,6,descent,rl,51.645,53.44
AB14,stair_4_l_01_04,7,ascent,lr,47.03,47.99
AB14,stair_4_r_01_03,7,ascent,rl,36.22,38.12
AB14,stair_4_l_01_01,7,descent,lr,16.05,16.895
AB14,stair_4_r_01_04,7,descent,rl,55.09,56.97
AB15,stair_1_l_01_03,4,ascent,lr,37.495,38.665
AB15,stair_1_r_01_05,4,ascent,rl,64.01,66.29
AB15,stair_1_l_01_05,4,descent,lr,72.15,73.15
AB15,stair_1_r_01_04,4,descent,rl,56.8,58.9
AB15,stair_2_l_01_04,5,ascent,lr,51.13,52.45
AB15,stair_2_r_01_03,5,ascent,rl,37.645,40.18
AB15,stair_2_l_01_03,5,descent,lr,43.875,45.01
